Country,Health (2022 1/2) Proj,Health (2023) Proj,Health (2024) Proj,Health (2025) Proj,Health (2026) Proj,Health (2027) Proj
Uruguay,0.7391293647155762,0.7246352376586914,0.7251962851904297,0.7263921775129395,0.7174706130155275,0.7265647356186328
Colombia,0.6474775847167967,0.6388191016601561,0.6472649219921874,0.657712321673828,0.6622547860085937,0.6507057432103124
Thailand,0.6877778058815002,0.6776333670578002,0.6833300404693603,0.6905482426817322,0.6872578912180787,0.6853094694616944
Saudi Arabia,0.6226136659469604,0.6030863991363525,0.6051696789636231,0.6081739488093872,0.6032087385712648,0.6084504862855177
Spain,0.8993081199798583,0.88804574397583,0.8898628927709961,0.8900433513453369,0.8750520216144043,0.8884624259372851
Malta,0.8370608473510742,0.8270310168212891,0.8318072201855469,0.8337798168715821,0.8237357802458984,0.8306829362950783
El Salvador,0.6230777105560301,0.6122192526672363,0.6154631032006834,0.61935201328479,0.615422415941748,0.6171068991300975
Uzbekistan,0.5605245255184175,0.5530854306221009,0.563376516746521,0.5763972945774078,0.5706767534928894,0.5648121041914672
Slovakia,0.7376845822219847,0.7274174986663817,0.732166998399658,0.7360538158576049,0.728064579029126,0.732277494834951
Japan,0.9346991742172241,0.923417009060669,0.9251184108728028,0.9274469188301392,0.9153363025961669,0.9252035631154005
South Korea,0.9096088152084351,0.898454578250122,0.9008554939001463,0.9009837774717406,0.8901805329660888,0.9000166395593066
Ecuador,0.7213032444725036,0.7074138933670042,0.7116706720404051,0.7168775619759826,0.7130530743711792,0.7140636892454149
Bahrain,0.6760506069412232,0.6618287283294678,0.6628024739953614,0.6647363618532104,0.6580836342238525,0.6647003610686231
Italy,0.8811248695335389,0.8664578434402467,0.8695454121282958,0.8728256250204162,0.8581907500244995,0.8696289000293994
Bolivia,0.509106049900055,0.5030872598800661,0.5097647118560793,0.5169916043272401,0.5187899251926882,0.5115479102312257
Moldova,0.5895630401802062,0.5838236482162474,0.5959703778594969,0.5972714132511902,0.5927256959014282,0.5918708350817138
Paraguay,0.6124361386642456,0.6027273663970947,0.6066828396765136,0.6121692689475708,0.6116031227370848,0.6091237472845019
Kazakhstan,0.6131163101272584,0.6070035721527101,0.6136322865832522,0.6151504337726441,0.611980520527173,0.6121766246326076
Slovenia,0.8161416455993651,0.8046959747192381,0.8073331696630858,0.8106341579963379,0.8015609895956054,0.8080731875147265
Lithuania,0.676393988040924,0.6654167856491087,0.6691521427789306,0.6771925832937926,0.6694310999525511,0.6715173199430613
Nicaragua,0.673073192123413,0.6590598305480956,0.6604457966577146,0.6619157638658446,0.6542989166390136,0.6617586999668162
Peru,0.6798552226753234,0.669792267210388,0.6777627206524658,0.6872820421076354,0.6899384505291624,0.680926140634995
Poland,0.7324170695991516,0.7230944835189819,0.7295973802227783,0.7356217866681823,0.7265461440018188,0.7294553728021825
Malaysia,0.6510768855285644,0.6365042626342773,0.6390731151611327,0.643130852664795,0.6379570231977538,0.6415484278373047
Croatia,0.728115704257965,0.716128845109558,0.7183066141314697,0.7217102326997986,0.7186522792397583,0.7205827350877099
Russia,0.5983038667526246,0.5841126401031496,0.5829531681237794,0.5900739349959107,0.5882887219950929,0.5887464663941114
Jamaica,0.6524244768333436,0.6454273722000122,0.6555748466400148,0.6584853391346741,0.651582406961609,0.6526988883539306
Cyprus,0.869014940235138,0.8581059282821656,0.8599671139385988,0.8630175964911805,0.8538211157894166,0.8607853389472998
Algeria,0.6366569291496276,0.640456314979553,0.6449395779754636,0.6504105644209289,0.6430926773051147,0.6431112127661376
Kosovo,0.571954410041809,0.5600812920501708,0.564097550460205,0.5686266505104369,0.5667519806125243,0.5663023767350293
Mauritius,0.6522794924049378,0.6408353908859253,0.6366244690631104,0.6363478704707947,0.6268174445649537,0.6385809334779444
Estonia,0.7229516632728575,0.7128199959274292,0.719187995112915,0.7239919308626404,0.7213903170351683,0.720068380442202
Indonesia,0.5370031441059113,0.5168177729270935,0.5214333275125123,0.5272508489091035,0.528301018690924,0.526161222429109
Vietnam,0.6746997978363038,0.6602877574035647,0.6600313088842775,0.6616037728248292,0.6535245273897952,0.6620294328677542
Turkey,0.6809011215019225,0.670737345802307,0.6754488149627685,0.6830174564533997,0.6824209477440796,0.6785051372928955
Kyrgyzstan,0.5981655593147277,0.5876226711776733,0.594249205413208,0.6024074871811218,0.6040889846173462,0.5973067815408155
Nigeria,0.12321314604759218,0.11584177525711059,0.1287941303085327,0.14316981032264708,0.1622037723871765,0.1346445268646118
Pakistan,0.42355355662727356,0.4053322679527283,0.405786721543274,0.4065345092246552,0.4030414110695862,0.4088496932835035
Jordan,0.6456200116653441,0.635466013998413,0.6411352167980956,0.6484442484923705,0.6491330981908445,0.6439597178290135
Montenegro,0.6832009347038271,0.6747991216445924,0.6826929459735109,0.6857386004643862,0.6770863205572633,0.680703584668716
China,0.7595211001281739,0.7481093201538085,0.7506091841845703,0.7524479208933107,0.7431375050719727,0.7507650060863672
Zambia,0.2787611789646148,0.2746654147575377,0.28245249770904524,0.2873758182862395,0.28585098194348746,0.2818211783321849
Romania,0.7022156624641418,0.6888787949569701,0.6914505539483642,0.6927090022738952,0.6860508027286742,0.6922609632744091
Serbia,0.6775889342613219,0.6634347211135865,0.6669616653363036,0.6701970641422423,0.6672364769706908,0.6690837723648291
Portugal,0.8251327083244323,0.8151212499893189,0.8194194999871826,0.8241346916601868,0.8121616299922241,0.8191939559906689
Latvia,0.6620913941650389,0.6496356729980468,0.651658807597656,0.6542771749521484,0.6509326099425781,0.6537191319310937
