Index,Country,Rank (2015),Happiness Score (2015),Family (2015),Health (2015),Freedom (2015),Perceptions of Corruption (2015),Generosity (2015),Rank (2016),Happiness Score (2016),Family (2016),Health (2016),Freedom (2016),Perceptions of Corruption (2016),Generosity (2016),Rank (2017),Happiness Score (2017),Family (2017),Health (2017),Freedom (2017),Perceptions of Corruption (2017),Generosity (2017),Rank (2018),Happiness Score (2018),Family (2018),Health (2018),Freedom (2018),Perceptions of Corruption (2018),Generosity (2018),Rank (2019),Happiness Score (2019),Family (2019),Health (2019),Freedom (2019),Perceptions of Corruption (2019),Generosity (2019),Rank (2022),Happiness Score (2022),Family (2022),Health (2022),Freedom (2022),Perceptions of Corruption (2022),Generosity (2022)
0,Switzerland,1.0,7.587000000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.0,7.5089999999999995,1.14524,0.86303,0.58557,0.41203,0.28083,4.0,7.49399995803833,1.51691174507141,0.858131289482117,0.620070576667786,0.36700728535652205,0.29054927825927696,5.0,7.487,1.5490000000000002,0.927,0.66,0.35700000000000004,0.256,6.0,7.48,1.526,1.052,0.5720000000000001,0.34299999999999997,0.263,4.0,7.5120000000000005,1.226,0.8220000000000001,0.677,0.461,0.147
1,Iceland,2.0,7.561,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,3.0,7.501,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,3.0,7.50400018692017,1.6105740070343,0.8335521221160892,0.6271626353263849,0.15352655947208402,0.47554022073745705,4.0,7.495,1.6440000000000001,0.914,0.677,0.138,0.353,4.0,7.494,1.624,1.026,0.591,0.11800000000000001,0.354,3.0,7.557,1.32,0.8029999999999999,0.718,0.191,0.27
2,Denmark,3.0,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,1.0,7.526,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.0,7.52199983596802,1.55112159252167,0.7925655245780941,0.626006722450256,0.40077006816863997,0.3552804887294771,3.0,7.555,1.59,0.868,0.6829999999999999,0.408,0.284,2.0,7.6,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252,2.0,7.636,1.2429999999999999,0.777,0.7190000000000001,0.532,0.188
3,Norway,4.0,7.522,1.33095,0.88521,0.66973,0.36503,0.34699,4.0,7.497999999999999,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,1.0,7.537000179290769,1.53352355957031,0.796666502952576,0.635422587394714,0.31596383452415505,0.36201223731041,2.0,7.593999999999999,1.5819999999999999,0.861,0.6859999999999999,0.34,0.28600000000000003,3.0,7.553999999999999,1.5819999999999999,1.028,0.603,0.341,0.271,8.0,7.365,1.239,0.7859999999999999,0.728,0.474,0.217
4,Canada,5.0,7.4270000000000005,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,6.0,7.404,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,7.0,7.31599998474121,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,7.0,7.327999999999999,1.5319999999999998,0.8959999999999999,0.653,0.29100000000000004,0.321,9.0,7.278,1.505,1.0390000000000001,0.584,0.308,0.285,15.0,7.025,1.188,0.7829999999999999,0.659,0.368,0.217
5,Finland,6.0,7.406000000000001,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,5.0,7.412999999999999,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,5.0,7.468999862670901,1.5402467250824,0.80915766954422,0.6179508566856379,0.38261154294014,0.24548277258873,1.0,7.632000000000001,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.39299999999999996,0.20199999999999999,1.0,7.769,1.587,0.986,0.596,0.39299999999999996,0.153,1.0,7.821000000000001,1.258,0.775,0.736,0.534,0.109
6,Netherlands,7.0,7.377999999999999,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,7.0,7.3389999999999995,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,6.0,7.3769998550415,1.42893922328949,0.8106961250305179,0.5853844881057739,0.282661825418472,0.47048982977867104,6.0,7.441,1.4880000000000002,0.878,0.638,0.295,0.33299999999999996,5.0,7.4879999999999995,1.5219999999999998,0.9990000000000001,0.557,0.298,0.322,5.0,7.415,1.206,0.787,0.6509999999999999,0.419,0.271
7,Sweden,8.0,7.364,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,10.0,7.291,1.08764,0.83121,0.58218,0.40867,0.38254,9.0,7.28399991989136,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.38539925217628496,9.0,7.314,1.501,0.9129999999999999,0.659,0.38299999999999995,0.285,7.0,7.343,1.4869999999999999,1.0090000000000001,0.574,0.373,0.267,7.0,7.3839999999999995,1.204,0.8029999999999999,0.7240000000000001,0.512,0.218
8,New Zealand,9.0,7.2860000000000005,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,8.0,7.334,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,8.0,7.31400012969971,1.54819512367249,0.816759705543518,0.6140621304512021,0.38281670212745705,0.500005125999451,8.0,7.324,1.601,0.8759999999999999,0.669,0.389,0.365,8.0,7.307,1.557,1.026,0.585,0.38,0.33,10.0,7.2,1.235,0.752,0.68,0.483,0.245
9,Australia,10.0,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,9.0,7.313,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,10.0,7.28399991989136,1.5100419521331798,0.84388679265976,0.601607382297516,0.301183730363846,0.47769924998283403,10.0,7.272,1.5730000000000002,0.91,0.647,0.302,0.361,11.0,7.228,1.548,1.036,0.557,0.29,0.332,12.0,7.162000000000001,1.203,0.772,0.6759999999999999,0.341,0.258
10,Israel,11.0,7.278,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,11.0,7.267,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,11.0,7.212999820709231,1.37628996372223,0.83840399980545,0.40598860383033797,0.0852421000599861,0.330082654953003,19.0,6.814,1.5590000000000002,0.883,0.5329999999999999,0.272,0.354,13.0,7.138999999999999,1.455,1.0290000000000001,0.371,0.08199999999999999,0.261,9.0,7.364,1.2209999999999999,0.818,0.568,0.14300000000000002,0.155
11,Costa Rica,12.0,7.226,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,14.0,7.087000000000001,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,12.0,7.0789999961853,1.4164036512374898,0.7595092654228209,0.580131649971008,0.100106589496136,0.21461322903633104,13.0,7.072,1.459,0.8170000000000001,0.632,0.10099999999999999,0.14300000000000002,12.0,7.167000000000001,1.4409999999999998,0.963,0.5579999999999999,0.09300000000000001,0.14400000000000002,23.0,6.582000000000001,1.054,0.7440000000000001,0.6609999999999999,0.102,0.08900000000000001
12,Austria,13.0,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,12.0,7.119,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,13.0,7.00600004196167,1.4599449634552,0.8153284192085269,0.567766189575195,0.22106036543846105,0.316472321748734,12.0,7.138999999999999,1.504,0.8909999999999999,0.617,0.22399999999999998,0.242,10.0,7.246,1.475,1.016,0.532,0.226,0.244,11.0,7.162999999999999,1.165,0.774,0.623,0.32899999999999996,0.193
13,Mexico,14.0,7.187,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,21.0,6.778,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,25.0,6.57800006866455,1.2108621597290001,0.709978997707367,0.412730008363724,0.132774114608765,0.12099043279886199,24.0,6.4879999999999995,1.252,0.7609999999999999,0.479,0.095,0.069,23.0,6.595,1.3230000000000002,0.861,0.433,0.073,0.07400000000000001,46.0,6.127999999999999,0.8859999999999999,0.623,0.621,0.115,0.092
14,United States,15.0,7.119,1.24711,0.86179,0.54604,0.1589,0.40105,13.0,7.104,1.04782,0.779,0.48163,0.14868,0.41076999999999997,14.0,6.993000030517581,1.4199205636978103,0.7742866277694699,0.505740523338318,0.135638788342476,0.392578780651093,18.0,6.886,1.4709999999999999,0.8190000000000001,0.547,0.133,0.29100000000000004,19.0,6.892,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.128,0.28,16.0,6.977,1.182,0.628,0.574,0.177,0.22
15,Brazil,16.0,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,17.0,6.952000000000001,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,22.0,6.6350002288818395,1.43130600452423,0.6165523529052729,0.437453746795654,0.11109276115894301,0.16234989464282998,28.0,6.419,1.474,0.675,0.493,0.08800000000000001,0.11,32.0,6.3,1.439,0.802,0.39,0.086,0.099,38.0,6.292999999999999,1.044,0.615,0.546,0.134,0.131
17,Ireland,18.0,6.94,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,19.0,6.907,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,15.0,6.9770002365112305,1.5582311153411899,0.8097826242446899,0.5731103420257571,0.29838815331459007,0.42785832285881,14.0,6.977,1.5830000000000002,0.8759999999999999,0.614,0.306,0.307,16.0,7.021,1.5530000000000002,0.9990000000000001,0.516,0.31,0.298,13.0,7.041,1.166,0.779,0.627,0.408,0.19
18,Belgium,19.0,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,18.0,6.928999999999999,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,17.0,6.89099979400635,1.4623126983642598,0.8180918693542479,0.5397707223892211,0.251343131065369,0.23150333762168898,16.0,6.9270000000000005,1.483,0.894,0.583,0.24,0.188,18.0,6.922999999999999,1.504,0.986,0.473,0.21,0.16,19.0,6.805,1.1059999999999999,0.764,0.49200000000000005,0.204,0.049
19,United Kingdom,21.0,6.867000000000001,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,23.0,6.725,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,19.0,6.71400022506714,1.4964600801467902,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,11.0,7.19,1.433,0.888,0.46399999999999997,0.08199999999999999,0.262,15.0,7.053999999999999,1.538,0.996,0.45,0.278,0.348,17.0,6.943,1.143,0.75,0.597,0.32899999999999996,0.289
20,Venezuela,23.0,6.81,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,44.0,6.084,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,82.0,5.25,1.43133759498596,0.617144227027893,0.15399712324142498,0.0644911229610443,0.0650196298956871,102.0,4.806,1.469,0.657,0.133,0.052000000000000005,0.055999999999999994,108.0,4.707,1.4269999999999998,0.805,0.154,0.047,0.064,108.0,4.925,0.968,0.578,0.28300000000000003,0.08199999999999999,0.225
21,Singapore,24.0,6.797999999999999,1.02,1.02525,0.54252,0.4921,0.31105,22.0,6.739,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706,26.0,6.57200002670288,1.35381436347961,0.9494923949241642,0.549840569496155,0.46430778503417997,0.345965981483459,34.0,6.343,1.4509999999999998,1.008,0.631,0.457,0.261,34.0,6.2620000000000005,1.463,1.141,0.556,0.45299999999999996,0.271,27.0,6.48,1.127,0.851,0.672,0.5870000000000001,0.163
22,Panama,25.0,6.7860000000000005,1.1985,0.79661,0.5421,0.0927,0.24434,25.0,6.7010000000000005,0.9891200000000001,0.70835,0.48927,0.08423,0.2418,30.0,6.4520001411438,1.3731925487518302,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,27.0,6.43,1.4380000000000002,0.759,0.597,0.063,0.125,31.0,6.321000000000001,1.442,0.91,0.516,0.054000000000000006,0.109,37.0,6.309,1.107,0.7090000000000001,0.5920000000000001,0.051,0.049
23,Germany,26.0,6.75,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,16.0,6.994,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,16.0,6.9510002136230495,1.47252035140991,0.798950731754303,0.562511384487152,0.276731938123703,0.33626917004585305,15.0,6.965,1.474,0.861,0.586,0.28,0.273,17.0,6.985,1.454,0.987,0.495,0.265,0.261,14.0,7.034,1.088,0.7759999999999999,0.585,0.358,0.163
24,Chile,27.0,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,24.0,6.705,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,20.0,6.65199995040894,1.28402495384216,0.8194797039031979,0.376895278692245,0.0822879821062088,0.3266624212265011,25.0,6.476,1.331,0.8079999999999999,0.431,0.061,0.19699999999999998,26.0,6.444,1.369,0.92,0.35700000000000004,0.055999999999999994,0.187,44.0,6.172000000000001,1.08,0.748,0.46,0.069,0.124
26,France,29.0,6.575,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,32.0,6.478,1.00508,0.83795,0.46562,0.17808,0.1216,31.0,6.44199991226196,1.38777685165405,0.8444658517837521,0.470222115516663,0.172502428293228,0.129762306809425,23.0,6.489,1.466,0.9079999999999999,0.52,0.17600000000000002,0.098,24.0,6.5920000000000005,1.472,1.045,0.436,0.183,0.111,20.0,6.687,1.219,0.8079999999999999,0.5670000000000001,0.266,0.07
27,Argentina,30.0,6.574,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,26.0,6.65,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002,24.0,6.59899997711182,1.44045114517212,0.695137083530426,0.49451920390129106,0.05973988771438599,0.109457060694695,29.0,6.388,1.4680000000000002,0.7440000000000001,0.57,0.054000000000000006,0.062,47.0,6.086,1.432,0.8809999999999999,0.47100000000000003,0.05,0.066,57.0,5.9670000000000005,1.102,0.662,0.555,0.085,0.081
29,Uruguay,32.0,6.485,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,29.0,6.545,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056,28.0,6.4539999961853,1.4122278690338101,0.719216823577881,0.5793922543525699,0.17806187272071802,0.175096929073334,31.0,6.379,1.459,0.7709999999999999,0.625,0.155,0.13,33.0,6.292999999999999,1.465,0.8909999999999999,0.523,0.15,0.127,30.0,6.474,1.18,0.672,0.665,0.265,0.10300000000000001
